"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_attach_file","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_issue_link","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_reusable_step","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1250","test_invalid_credentials","tests","Mon Jan 27 13:15:28 GMT 2025","passed","Mon Jan 27 13:15:29 GMT 2025","TestLogin","login_test","",""
"","0","test_custom_link","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"","1","test_attach_body","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_nested_steps","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_class_method_as_step","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
" Tbd ","1780","test_valid_credentials","tests","Mon Jan 27 13:15:25 GMT 2025","passed","Mon Jan 27 13:15:27 GMT 2025","TestLogin","login_test","",""
"","0","test_attach_body_with_default_kwargs","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_testcase_link","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"","0","test_link","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
"Tbd","0","test_inline_step","tests","Mon Jan 27 13:15:05 GMT 2025","passed","Mon Jan 27 13:15:05 GMT 2025","TestAllureOptions","allure_test","",""
